job_id,pay_period,work_type,job_location,applies,remote_allowed,views,level,sponsored,compensation,job_domain,company_id,ben_pack_id
23,1,5,20,17,False,194,,True,480.5,-1,7307355,68
140,1,5,0,133,True,650,,True,332.8,1,87720672,68
144,3,5,14,0,False,8,,False,850.0,18,101699,1
177,3,5,17,0,False,1,4,False,913.0,0,18401,91
179,1,3,37,0,False,2,5,False,1.537e+03,14,165422,91
203,1,5,47,15,False,90,4,True,733.0,29,665858,57
204,1,5,33,5,False,183,5,False,473.2,16,665858,57
207,1,5,13,0,False,4,,True,626.5,21,165422,1
268,3,5,5,172,False,476,5,False,2.62e+03,11,1916708,1
310,1,5,6,0,False,3,4,False,601.5,18,41147,1
339,3,5,35,0,False,1,4,False,913.0,0,18401,91
357,1,3,43,0,False,1,4,True,332.8,20,1511,1
358,1,3,43,1,False,3,4,False,332.8,20,1511,1
409,3,5,43,0,False,0,,False,3.644e+03,29,1063,1
419,3,5,0,0,True,0,,False,2.412e+03,29,1063,1
457,1,3,23,0,False,0,5,True,312.0,21,26923,44
489,3,5,0,16,True,108,4,False,852.0,18,25017205,1
502,1,5,47,12,False,49,4,True,1.456e+03,16,37768,44
507,1,5,5,7,False,35,4,False,749.0,16,37768,1
512,1,5,47,0,False,3,5,True,416.0,29,37768,44
537,1,5,21,0,False,3,4,True,473.2,14,686294,154
539,1,5,6,2,False,15,4,False,426.5,1,686294,154
600,3,5,22,0,False,1,4,True,650.0,25,81954233,1
678,3,5,10,1,False,6,5,False,1.5e+03,12,4221934,1
784,3,5,43,1,False,5,1,False,3e+03,5,4857886,1
805,3,5,43,3,False,28,5,False,1.05e+03,0,162749,44
807,3,5,0,137,True,728,,True,1.7e+03,8,47660218,13
890,3,5,10,0,False,0,4,False,680.0,11,3579761,113
1064,3,5,21,14,True,42,,False,870.0,29,10279563,135
1080,3,5,20,7,False,44,,True,860.0,18,25073964,25
1236,1,3,23,0,False,0,5,True,374.5,21,26923,44
1240,3,5,48,0,True,1,5,False,1.75e+03,29,73013724,1
1265,3,5,25,0,True,0,5,False,1.75e+03,29,73013724,1
1295,3,5,15,0,False,0,,True,3.224e+03,29,1063,1
1297,3,5,5,17,False,119,5,True,1.316e+03,28,37768,1
1300,3,5,5,3,False,18,5,False,800.0,18,37768,1
1309,3,5,5,7,False,57,,False,600.0,27,750072,1
1328,3,5,35,0,False,0,4,False,913.0,0,18401,91
1338,1,5,32,0,False,57,4,False,473.2,1,686294,154
1603,3,5,5,1,False,8,5,False,1.5e+03,12,4221934,1
1604,3,5,5,0,False,2,5,False,1.5e+03,12,4221934,1
1729,2,5,30,5,False,41,,False,312.0,-1,19058844,1
1976,3,1,33,4,False,35,5,False,2.36e+03,0,4399,1
1977,1,1,32,22,False,141,0,False,457.5,12,4399,1
1982,1,5,28,0,False,0,4,False,436.8,18,4030721,52
2132,3,5,5,3,False,16,1,False,2.8e+03,31,35602,52
2188,1,5,23,0,False,0,4,True,312.0,18,26923,44
2222,1,5,47,0,False,3,4,True,846.5,18,37768,44
2249,1,5,9,2,False,16,4,False,374.5,1,686294,154
2251,1,5,5,0,False,1,4,False,567.0,14,686294,154
2252,1,5,3,1,False,17,5,True,426.5,10,686294,154
2253,3,5,5,0,False,0,,False,2.222e+03,11,1063,1
2293,1,5,5,0,False,0,,False,374.5,18,166572,1
